timestamp,cabinet_id,sensor_id,position,height,sensor_role,inlet_temp_c,source,reading_quality,source_row_id
2025-12-25T00:00:00Z,cab-a01,sensor-top,front_top,top,inlet,23.216,normalized-temperature,good,t1
2025-12-25T00:00:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,22.116,normalized-temperature,good,t2
2025-12-25T00:00:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,21.216,normalized-temperature,good,t3
2025-12-25T00:05:00Z,cab-a01,sensor-top,front_top,top,inlet,23.234,normalized-temperature,good,t4
2025-12-25T00:05:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,22.134,normalized-temperature,good,t5
2025-12-25T00:05:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,21.234,normalized-temperature,good,t6
2025-12-25T00:10:00Z,cab-a01,sensor-top,front_top,top,inlet,23.252,normalized-temperature,good,t7
2025-12-25T00:10:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,22.152,normalized-temperature,good,t8
2025-12-25T00:10:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,21.252,normalized-temperature,good,t9
2025-12-25T00:15:00Z,cab-a01,sensor-top,front_top,top,inlet,22.609,normalized-temperature,good,t10
2025-12-25T00:15:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,21.509,normalized-temperature,good,t11
2025-12-25T00:15:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,20.609,normalized-temperature,good,t12
2025-12-25T00:20:00Z,cab-a01,sensor-top,front_top,top,inlet,22.627,normalized-temperature,good,t13
2025-12-25T00:20:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,21.527,normalized-temperature,good,t14
2025-12-25T00:20:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,20.627,normalized-temperature,good,t15
2025-12-25T00:25:00Z,cab-a01,sensor-top,front_top,top,inlet,22.644,normalized-temperature,good,t16
2025-12-25T00:25:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,21.544,normalized-temperature,good,t17
2025-12-25T00:25:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,20.644,normalized-temperature,good,t18
2025-12-25T00:30:00Z,cab-a01,sensor-top,front_top,top,inlet,22.66,normalized-temperature,good,t19
2025-12-25T00:30:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,21.56,normalized-temperature,good,t20
2025-12-25T00:30:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,20.66,normalized-temperature,good,t21
2025-12-25T00:35:00Z,cab-a01,sensor-top,front_top,top,inlet,22.677,normalized-temperature,good,t22
2025-12-25T00:35:00Z,cab-a01,sensor-middle,front_middle,middle,inlet,21.577,normalized-temperature,good,t23
2025-12-25T00:35:00Z,cab-a01,sensor-bottom,front_bottom,bottom,inlet,20.677,normalized-temperature,good,t24
2025-12-25T00:40:00Z,cab-a01,sensor-top,front_top,top,inlet,22.692,normalized-temperature,good,t25
