VM,VM UUID,backup_total_mib,latest_restore_point_utc,restore_point_count,avg_daily_change_mib,latest_incremental_mib,backup_job,backup_policy,retention_days,immutable_until_utc,rpo_hours,rto_tier,repository,protected,last_success_utc,last_failure_utc
mig-payments-api,inv-uuid-001,86000,2026-04-29T02:00:00Z,14,320,700,job-migration-a,policy-standard,30,2026-05-29T02:00:00Z,24,standard,repo-a,true,2026-04-29T02:00:00Z,
mig-orders-worker,inv-uuid-002,92000,2026-04-29T02:10:00Z,14,360,750,job-migration-a,policy-standard,30,2026-05-29T02:10:00Z,24,standard,repo-a,true,2026-04-29T02:10:00Z,
mig-portal-web,inv-uuid-003,64000,2026-04-29T02:20:00Z,14,220,500,job-migration-b,policy-standard,30,2026-05-29T02:20:00Z,24,standard,repo-a,true,2026-04-29T02:20:00Z,
mig-claims-app,inv-uuid-004,98000,2026-04-29T02:30:00Z,14,390,800,job-migration-b,policy-standard,30,2026-05-29T02:30:00Z,24,standard,repo-a,true,2026-04-29T02:30:00Z,
mig-data-sync,inv-uuid-005,58000,2026-04-29T02:40:00Z,14,180,450,job-migration-c,policy-standard,30,2026-05-29T02:40:00Z,24,standard,repo-a,true,2026-04-29T02:40:00Z,
mig-report-service,inv-uuid-006,70000,2026-04-29T02:50:00Z,14,240,500,job-migration-c,policy-standard,30,2026-05-29T02:50:00Z,24,standard,repo-a,true,2026-04-29T02:50:00Z,
mig-support-api,inv-uuid-025,72000,2026-04-29T02:55:00Z,14,250,520,job-migration-c,policy-standard,30,2026-05-29T02:55:00Z,24,standard,repo-a,true,2026-04-29T02:55:00Z,
rightsize-dev-build,inv-uuid-007,360000,2026-04-29T03:00:00Z,20,9600,12000,job-platform-a,policy-standard,30,2026-05-29T03:00:00Z,24,standard,repo-a,true,2026-04-29T03:00:00Z,
rightsize-analytics-cache,inv-uuid-008,420000,2026-04-29T03:10:00Z,20,10400,13000,job-platform-a,policy-standard,30,2026-05-29T03:10:00Z,24,standard,repo-a,true,2026-04-29T03:10:00Z,
rightsize-qa-db,inv-uuid-009,310000,2026-04-29T03:20:00Z,20,8200,9500,job-platform-b,policy-standard,30,2026-05-29T03:20:00Z,24,standard,repo-a,true,2026-04-29T03:20:00Z,
rightsize-unused-app,inv-uuid-010,270000,2026-04-29T03:30:00Z,20,7600,8900,job-platform-b,policy-standard,30,2026-05-29T03:30:00Z,24,standard,repo-a,true,2026-04-29T03:30:00Z,
archive-legacy-crm,inv-uuid-011,36000,2025-11-15T02:00:00Z,3,120,200,job-archive-a,policy-archive,90,2026-02-15T02:00:00Z,48,archive,repo-b,true,2025-11-15T02:00:00Z,
archive-retired-report,inv-uuid-012,34000,2025-11-20T02:00:00Z,3,110,180,job-archive-a,policy-archive,90,2026-02-20T02:00:00Z,48,archive,repo-b,true,2025-11-20T02:00:00Z,
archive-lab-tool,inv-uuid-013,26000,2025-10-20T02:00:00Z,2,80,140,job-archive-b,policy-archive,90,2026-01-20T02:00:00Z,48,archive,repo-b,true,2025-10-20T02:00:00Z,
archive-old-batch,inv-uuid-014,30000,2025-10-25T02:00:00Z,2,90,150,job-archive-b,policy-archive,90,2026-01-25T02:00:00Z,48,archive,repo-b,true,2025-10-25T02:00:00Z,
dr-core-db,inv-uuid-015,2200000,2026-04-29T04:00:00Z,48,1200,2500,job-dr-a,policy-extended,90,2026-07-29T04:00:00Z,12,enhanced,repo-c,true,2026-04-29T04:00:00Z,
dr-file-share,inv-uuid-016,3300000,2026-04-29T04:10:00Z,54,1800,3200,job-dr-a,policy-extended,90,2026-07-29T04:10:00Z,12,enhanced,repo-c,true,2026-04-29T04:10:00Z,
dr-erp-db,inv-uuid-017,4600000,2026-04-29T04:20:00Z,60,2400,4100,job-dr-b,policy-extended,90,2026-07-29T04:20:00Z,12,enhanced,repo-c,true,2026-04-29T04:20:00Z,
dr-records-store,inv-uuid-018,2500000,2026-04-29T04:30:00Z,42,1300,2600,job-dr-b,policy-extended,90,2026-07-29T04:30:00Z,12,enhanced,repo-c,true,2026-04-29T04:30:00Z,
needs-storage-used,inv-uuid-020,88000,2026-04-29T05:00:00Z,14,320,700,job-needs-data,policy-standard,30,2026-05-29T05:00:00Z,24,standard,repo-a,true,2026-04-29T05:00:00Z,
needs-change-rate,inv-uuid-021,88000,2026-04-29T05:10:00Z,14,,700,job-needs-data,policy-standard,30,2026-05-29T05:10:00Z,24,standard,repo-a,true,2026-04-29T05:10:00Z,
identity-name-only,,76000,2026-04-29T05:20:00Z,14,280,600,job-needs-data,policy-standard,30,2026-05-29T05:20:00Z,24,standard,repo-a,true,2026-04-29T05:20:00Z,
snapshot-risk-app,inv-uuid-023,90000,2026-04-29T05:30:00Z,14,340,700,job-review,policy-standard,30,2026-05-29T05:30:00Z,24,standard,repo-a,true,2026-04-29T05:30:00Z,
mig-platform-large,inv-uuid-024,440000,2026-04-29T05:40:00Z,20,10800,14000,job-review,policy-standard,30,2026-05-29T05:40:00Z,24,standard,repo-a,true,2026-04-29T05:40:00Z,
orphaned-backup-only,backup-only-001,30000,2026-04-29T06:00:00Z,5,120,200,job-orphan,policy-standard,30,2026-05-29T06:00:00Z,24,standard,repo-a,true,2026-04-29T06:00:00Z,
