boundary_id,user_id,collection,allowed_docs,forbidden_docs,allowed_tests,forbidden_tests,leak_count,review_count,status
user_engineering:engineering,user_engineering,engineering,4,0,3,0,0,3,REVIEW
user_engineering:finance,user_engineering,finance,0,4,0,3,0,0,PASS
user_engineering:hr,user_engineering,hr,0,4,0,0,0,0,UNTESTED
user_engineering:legal,user_engineering,legal,0,4,0,0,0,0,UNTESTED
user_engineering:public,user_engineering,public,4,0,0,0,0,0,UNTESTED
user_finance:engineering,user_finance,engineering,0,4,0,3,0,0,PASS
user_finance:finance,user_finance,finance,4,0,3,0,0,3,REVIEW
user_finance:hr,user_finance,hr,0,4,0,0,0,0,UNTESTED
user_finance:legal,user_finance,legal,0,4,0,0,0,0,UNTESTED
user_finance:public,user_finance,public,4,0,0,0,0,0,UNTESTED
user_hr:engineering,user_hr,engineering,0,4,0,2,0,0,PASS
user_hr:finance,user_hr,finance,0,4,0,0,0,0,UNTESTED
user_hr:hr,user_hr,hr,4,0,2,0,0,2,REVIEW
user_hr:legal,user_hr,legal,0,4,0,0,0,0,UNTESTED
user_hr:public,user_hr,public,4,0,0,0,0,0,UNTESTED
user_legal:engineering,user_legal,engineering,0,4,0,2,0,0,PASS
user_legal:finance,user_legal,finance,0,4,0,0,0,0,UNTESTED
user_legal:hr,user_legal,hr,0,4,0,0,0,0,UNTESTED
user_legal:legal,user_legal,legal,4,0,2,0,0,2,REVIEW
user_legal:public,user_legal,public,4,0,0,0,0,0,UNTESTED
